# generated by: gensig.py chirp -a 0.3 -o sig_chirp_500_8k.csv --f0 500 --f1 8000
# date: 2026-04-03T17:17:13
# signal: 500–8000 Hz log chirp
# samples: 4096
# fs: 48828.0
# amplitude: 0.3
time_s,speaker
9.564184484312279397e-03,-2.111845905141342128e-01
9.584664536741213658e-03,-2.291501044872560344e-01
9.605144589170147920e-03,-2.453408261553344516e-01
9.625624641599082182e-03,-2.596267105294557953e-01
9.646104694028016444e-03,-2.718921734828192438e-01
9.666584746456950705e-03,-2.820370663093997865e-01
9.687064798885884967e-03,-2.899775349844571082e-01
9.707544851314819229e-03,-2.956467565007943610e-01
9.728024903743753490e-03,-2.989955455576626675e-01
9.748504956172687752e-03,-2.999928258449374718e-01
9.768985008601622014e-03,-2.986259611861460384e-01
9.789465061030556275e-03,-2.949009428730282600e-01
9.809945113459490537e-03,-2.888424306333951530e-01
9.830425165888424799e-03,-2.804936458147879175e-01
9.850905218317359061e-03,-2.699161165301294796e-01
9.871385270746293322e-03,-2.571892756890604703e-01
9.891865323175227584e-03,-2.424099140208391401e-01
9.912345375604161846e-03,-2.256914913720098892e-01
9.932825428033096107e-03,-2.071633107249818972e-01
9.953305480462030369e-03,-1.869695605229892976e-01
9.973785532890964631e-03,-1.652682319926323251e-01
9.994265585319898892e-03,-1.422299192186014805e-01
1.001474563774883315e-02,-1.180365107368877703e-01
1.003522569017776742e-02,-9.287978236391541964e-02
1.005570574260670168e-02,-6.695990186164019198e-02
1.007618579503563594e-02,-4.048385684404681023e-02
1.009666584746457020e-02,-1.366381805235016185e-02
1.011714589989350446e-02,1.328454924376926485e-02
1.013762595232243872e-02,4.014381242787080223e-02
1.015810600475137299e-02,6.669652358018590688e-02
1.017858605718030725e-02,9.272698233790926947e-02
1.019906610960923977e-02,1.180229953158943301e-01
1.021954616203817404e-02,1.423776177332498061e-01
1.024002621446710830e-02,1.655908629100736329e-01
1.026050626689604256e-02,1.874713654349295933e-01
1.028098631932497682e-02,2.078379840574421378e-01
1.030146637175391108e-02,2.265213307316313041e-01
1.032194642418284534e-02,2.433652127221640205e-01
1.034242647661177961e-02,2.582279752846372012e-01
1.036290652904071387e-02,2.709837331395043569e-01
1.038338658146964813e-02,2.815234797717331428e-01
1.040386663389858239e-02,2.897560644999639390e-01
1.042434668632751665e-02,2.956090282631055888e-01
1.044482673875645092e-02,2.990292901615592136e-01
1.046530679118538518e-02,2.999836779569085565e-01
1.048578684361431944e-02,2.984592969687574482e-01
1.050626689604325370e-02,2.944637331011569770e-01
1.052674694847218796e-02,2.880250870735511781e-01
1.054722700090112222e-02,2.791918383117282243e-01
1.056770705333005649e-02,2.680325383617894186e-01
1.058818710575899075e-02,2.546353351131352416e-01
1.060866715818792501e-02,2.391073305432138141e-01
1.062914721061685927e-02,2.215737761152491159e-01
1.064962726304579353e-02,2.021771113583641921e-01
1.067010731547472779e-02,1.810758525255970752e-01
1.069058736790366206e-02,1.584433395468997363e-01
1.071106742033259632e-02,1.344663507604033914e-01
1.073154747276153058e-02,1.093435961037396015e-01
1.075202752519046484e-02,8.328410056805007899e-02
1.077250757761939910e-02,5.650549074921282222e-02
1.079298763004833336e-02,2.923219826482899297e-02
1.081346768247726763e-02,1.693594631519803771e-03
1.083394773490620189e-02,-2.587792709174567551e-02
1.085442778733513615e-02,-5.324890800140864161e-02
1.087490783976407041e-02,-8.018680003685058066e-02
1.089538789219300467e-02,-1.064619469832462778e-01
1.091586794462193893e-02,-1.318495529314959447e-01
